review,mojo_name,mojo_year,rt_name,genre,release_year,stream_year,critical_consensus,description
"I'm not sure what type of movie this is supposed to be or who its audience is, but it's a low down dirty shame that Wayans' talent is wasted on this film.",A Low Down Dirty Shame,1994,A Low Down Dirty Shame - Movie Reviews,"Action , Comedy",1994,2016,"A trifecta of failure for writer-director-star Keenen Ivory Wayans, A Low Down Dirty Shame lives repeatedly and resolutely down to its title.","After hitting a wall in his case against drug kingpin Ernesto Mendoza (Andrew Divoff), private eye Andre Shame (Keenen Ivory Wayans) quits the police department in disgrace. The wisecracking investigator thinks he's left his old life behind him, but now everything changes when an old chum from the force informs him of a break in the case. With the help of his motor-mouthed secretary, Peaches (Jada Pinkett), Andre leaps back into the action to solve the case and clear his name."
"It's easy -- far too easy -- to use the title of Keenen Ivory Wayans' latest movie as a description. Unfortunately, it's also accurate.",A Low Down Dirty Shame,1994,A Low Down Dirty Shame - Movie Reviews,"Action , Comedy",1994,2016,"A trifecta of failure for writer-director-star Keenen Ivory Wayans, A Low Down Dirty Shame lives repeatedly and resolutely down to its title.","After hitting a wall in his case against drug kingpin Ernesto Mendoza (Andrew Divoff), private eye Andre Shame (Keenen Ivory Wayans) quits the police department in disgrace. The wisecracking investigator thinks he's left his old life behind him, but now everything changes when an old chum from the force informs him of a break in the case. With the help of his motor-mouthed secretary, Peaches (Jada Pinkett), Andre leaps back into the action to solve the case and clear his name."
,A Low Down Dirty Shame,1994,A Low Down Dirty Shame - Movie Reviews,"Action , Comedy",1994,2016,"A trifecta of failure for writer-director-star Keenen Ivory Wayans, A Low Down Dirty Shame lives repeatedly and resolutely down to its title.","After hitting a wall in his case against drug kingpin Ernesto Mendoza (Andrew Divoff), private eye Andre Shame (Keenen Ivory Wayans) quits the police department in disgrace. The wisecracking investigator thinks he's left his old life behind him, but now everything changes when an old chum from the force informs him of a break in the case. With the help of his motor-mouthed secretary, Peaches (Jada Pinkett), Andre leaps back into the action to solve the case and clear his name."
[An] anemic Blazing Saddles-wannabe.,Wagons East,1994,Wagons East! - Movie Reviews,"Comedy , Western",In Theaters:,2013,"Wagons East! is a witless, toothless satire of Westerns that falls far below the standard set by Blazing Saddles, and is notable only for being John Candy's final screen performance.","When a group of dissatisfied settlers decides they've had enough of the Wild West, they hire James Harlow (John Candy), an alcoholic wagon master, to take them back East. The eclectic but happy bunch includes Dr. Phil (Richard Lewis), prostitute Belle (Ellen Greene) and openly gay man Julian (John C. McGinley). But the railroad investors don't want it getting out that the West isn't a nice place, so they do everything they can to make sure the group never makes it to their destination."
"A poorly focused and rhythmless collection of vignettes, Wagons East! does contain a few funny ideas and some decent performances that simply are not enough to rescue the movie.",Wagons East,1994,Wagons East! - Movie Reviews,"Comedy , Western",In Theaters:,2013,"Wagons East! is a witless, toothless satire of Westerns that falls far below the standard set by Blazing Saddles, and is notable only for being John Candy's final screen performance.","When a group of dissatisfied settlers decides they've had enough of the Wild West, they hire James Harlow (John Candy), an alcoholic wagon master, to take them back East. The eclectic but happy bunch includes Dr. Phil (Richard Lewis), prostitute Belle (Ellen Greene) and openly gay man Julian (John C. McGinley). But the railroad investors don't want it getting out that the West isn't a nice place, so they do everything they can to make sure the group never makes it to their destination."
A stridently unfunny western comedy that is equally lame in its writing and direction.,Wagons East,1994,Wagons East! - Movie Reviews,"Comedy , Western",In Theaters:,2013,"Wagons East! is a witless, toothless satire of Westerns that falls far below the standard set by Blazing Saddles, and is notable only for being John Candy's final screen performance.","When a group of dissatisfied settlers decides they've had enough of the Wild West, they hire James Harlow (John Candy), an alcoholic wagon master, to take them back East. The eclectic but happy bunch includes Dr. Phil (Richard Lewis), prostitute Belle (Ellen Greene) and openly gay man Julian (John C. McGinley). But the railroad investors don't want it getting out that the West isn't a nice place, so they do everything they can to make sure the group never makes it to their destination."
"With credits that include such garbage as Hot Dog... The Movie, director and former hockey player Peter Markle displays an utter lack of comic sensibility.",Wagons East,1994,Wagons East! - Movie Reviews,"Comedy , Western",In Theaters:,2013,"Wagons East! is a witless, toothless satire of Westerns that falls far below the standard set by Blazing Saddles, and is notable only for being John Candy's final screen performance.","When a group of dissatisfied settlers decides they've had enough of the Wild West, they hire James Harlow (John Candy), an alcoholic wagon master, to take them back East. The eclectic but happy bunch includes Dr. Phil (Richard Lewis), prostitute Belle (Ellen Greene) and openly gay man Julian (John C. McGinley). But the railroad investors don't want it getting out that the West isn't a nice place, so they do everything they can to make sure the group never makes it to their destination."
"A sunshiney hodgepodge of bad jokes, nice scenery and reverse stereotypes.",Wagons East,1994,Wagons East! - Movie Reviews,"Comedy , Western",In Theaters:,2013,"Wagons East! is a witless, toothless satire of Westerns that falls far below the standard set by Blazing Saddles, and is notable only for being John Candy's final screen performance.","When a group of dissatisfied settlers decides they've had enough of the Wild West, they hire James Harlow (John Candy), an alcoholic wagon master, to take them back East. The eclectic but happy bunch includes Dr. Phil (Richard Lewis), prostitute Belle (Ellen Greene) and openly gay man Julian (John C. McGinley). But the railroad investors don't want it getting out that the West isn't a nice place, so they do everything they can to make sure the group never makes it to their destination."
"A typically rickety vehicle, just dumb enough that it actually submerges Candy's sweet, perky persona in what's basically a sullen, grizzled straight-man role.",Wagons East,1994,Wagons East! - Movie Reviews,"Comedy , Western",In Theaters:,2013,"Wagons East! is a witless, toothless satire of Westerns that falls far below the standard set by Blazing Saddles, and is notable only for being John Candy's final screen performance.","When a group of dissatisfied settlers decides they've had enough of the Wild West, they hire James Harlow (John Candy), an alcoholic wagon master, to take them back East. The eclectic but happy bunch includes Dr. Phil (Richard Lewis), prostitute Belle (Ellen Greene) and openly gay man Julian (John C. McGinley). But the railroad investors don't want it getting out that the West isn't a nice place, so they do everything they can to make sure the group never makes it to their destination."
Everyone's creative burners were on low heat for this woeful outing.,Wagons East,1994,Wagons East! - Movie Reviews,"Comedy , Western",In Theaters:,2013,"Wagons East! is a witless, toothless satire of Westerns that falls far below the standard set by Blazing Saddles, and is notable only for being John Candy's final screen performance.","When a group of dissatisfied settlers decides they've had enough of the Wild West, they hire James Harlow (John Candy), an alcoholic wagon master, to take them back East. The eclectic but happy bunch includes Dr. Phil (Richard Lewis), prostitute Belle (Ellen Greene) and openly gay man Julian (John C. McGinley). But the railroad investors don't want it getting out that the West isn't a nice place, so they do everything they can to make sure the group never makes it to their destination."
[A] broken-down nag of a movie.,Wagons East,1994,Wagons East! - Movie Reviews,"Comedy , Western",In Theaters:,2013,"Wagons East! is a witless, toothless satire of Westerns that falls far below the standard set by Blazing Saddles, and is notable only for being John Candy's final screen performance.","When a group of dissatisfied settlers decides they've had enough of the Wild West, they hire James Harlow (John Candy), an alcoholic wagon master, to take them back East. The eclectic but happy bunch includes Dr. Phil (Richard Lewis), prostitute Belle (Ellen Greene) and openly gay man Julian (John C. McGinley). But the railroad investors don't want it getting out that the West isn't a nice place, so they do everything they can to make sure the group never makes it to their destination."
"In what purports to be a comedic spin on the wagon-train Western genre, John Candy is sadly almost unrecognisable with a scruffy beard and long hair.",Wagons East,1994,Wagons East! - Movie Reviews,"Comedy , Western",In Theaters:,2013,"Wagons East! is a witless, toothless satire of Westerns that falls far below the standard set by Blazing Saddles, and is notable only for being John Candy's final screen performance.","When a group of dissatisfied settlers decides they've had enough of the Wild West, they hire James Harlow (John Candy), an alcoholic wagon master, to take them back East. The eclectic but happy bunch includes Dr. Phil (Richard Lewis), prostitute Belle (Ellen Greene) and openly gay man Julian (John C. McGinley). But the railroad investors don't want it getting out that the West isn't a nice place, so they do everything they can to make sure the group never makes it to their destination."
,Wagons East,1994,Wagons East! - Movie Reviews,"Comedy , Western",In Theaters:,2013,"Wagons East! is a witless, toothless satire of Westerns that falls far below the standard set by Blazing Saddles, and is notable only for being John Candy's final screen performance.","When a group of dissatisfied settlers decides they've had enough of the Wild West, they hire James Harlow (John Candy), an alcoholic wagon master, to take them back East. The eclectic but happy bunch includes Dr. Phil (Richard Lewis), prostitute Belle (Ellen Greene) and openly gay man Julian (John C. McGinley). But the railroad investors don't want it getting out that the West isn't a nice place, so they do everything they can to make sure the group never makes it to their destination."
"The humour is sufficiently scattershot to hit the mark once or twice, but basically a no-brains comedy.",Wagons East,1994,Wagons East! - Movie Reviews,"Comedy , Western",In Theaters:,2013,"Wagons East! is a witless, toothless satire of Westerns that falls far below the standard set by Blazing Saddles, and is notable only for being John Candy's final screen performance.","When a group of dissatisfied settlers decides they've had enough of the Wild West, they hire James Harlow (John Candy), an alcoholic wagon master, to take them back East. The eclectic but happy bunch includes Dr. Phil (Richard Lewis), prostitute Belle (Ellen Greene) and openly gay man Julian (John C. McGinley). But the railroad investors don't want it getting out that the West isn't a nice place, so they do everything they can to make sure the group never makes it to their destination."
"Wagons East! has the distinction of being Candy's final film, and it is dedicated to his memory. That, unfortunately, is its only distinction.",Wagons East,1994,Wagons East! - Movie Reviews,"Comedy , Western",In Theaters:,2013,"Wagons East! is a witless, toothless satire of Westerns that falls far below the standard set by Blazing Saddles, and is notable only for being John Candy's final screen performance.","When a group of dissatisfied settlers decides they've had enough of the Wild West, they hire James Harlow (John Candy), an alcoholic wagon master, to take them back East. The eclectic but happy bunch includes Dr. Phil (Richard Lewis), prostitute Belle (Ellen Greene) and openly gay man Julian (John C. McGinley). But the railroad investors don't want it getting out that the West isn't a nice place, so they do everything they can to make sure the group never makes it to their destination."
"A ghastly western parody that does not honor Uncle Buck's memory, but exploits his last, pitiable appeal for laughter.",Wagons East,1994,Wagons East! - Movie Reviews,"Comedy , Western",In Theaters:,2013,"Wagons East! is a witless, toothless satire of Westerns that falls far below the standard set by Blazing Saddles, and is notable only for being John Candy's final screen performance.","When a group of dissatisfied settlers decides they've had enough of the Wild West, they hire James Harlow (John Candy), an alcoholic wagon master, to take them back East. The eclectic but happy bunch includes Dr. Phil (Richard Lewis), prostitute Belle (Ellen Greene) and openly gay man Julian (John C. McGinley). But the railroad investors don't want it getting out that the West isn't a nice place, so they do everything they can to make sure the group never makes it to their destination."
"Worst of all, the film devotes the time between gags to schmaltzing up the characters with attempts at tenderness and drama.",Wagons East,1994,Wagons East! - Movie Reviews,"Comedy , Western",In Theaters:,2013,"Wagons East! is a witless, toothless satire of Westerns that falls far below the standard set by Blazing Saddles, and is notable only for being John Candy's final screen performance.","When a group of dissatisfied settlers decides they've had enough of the Wild West, they hire James Harlow (John Candy), an alcoholic wagon master, to take them back East. The eclectic but happy bunch includes Dr. Phil (Richard Lewis), prostitute Belle (Ellen Greene) and openly gay man Julian (John C. McGinley). But the railroad investors don't want it getting out that the West isn't a nice place, so they do everything they can to make sure the group never makes it to their destination."
One of the least amusing comedies I've ever seen.,Wagons East,1994,Wagons East! - Movie Reviews,"Comedy , Western",In Theaters:,2013,"Wagons East! is a witless, toothless satire of Westerns that falls far below the standard set by Blazing Saddles, and is notable only for being John Candy's final screen performance.","When a group of dissatisfied settlers decides they've had enough of the Wild West, they hire James Harlow (John Candy), an alcoholic wagon master, to take them back East. The eclectic but happy bunch includes Dr. Phil (Richard Lewis), prostitute Belle (Ellen Greene) and openly gay man Julian (John C. McGinley). But the railroad investors don't want it getting out that the West isn't a nice place, so they do everything they can to make sure the group never makes it to their destination."
,Simon Sez,1999,Simon Sez - Movie Reviews,"Action , Comedy",In Theaters:,2011,"Simon Sez no matter how starved you are for something to watch, there has to be a better option than this dreadfully misguided action thriller.","Interpol agent Simon (Dennis Rodman) is gathering information about the weapons trade on the French Riviera and trying to pinpoint the man at its center. Meanwhile, Nick (Dane Cook) -- an old classmate of Simon's -- asks him for help. Nick needs to rescue his employer's daughter, who appears to have been kidnapped by the same people Simon is tracking down. The pair must get to the bottom of the increasingly dangerous situation with the help of two monks and a feisty woman."
"This cockamamy action flick is excruciatingly formulaic -- brimming with spy movie cliches but devoid of the genre's fun, upper-class pretensions.",Simon Sez,1999,Simon Sez - Movie Reviews,"Action , Comedy",In Theaters:,2011,"Simon Sez no matter how starved you are for something to watch, there has to be a better option than this dreadfully misguided action thriller.","Interpol agent Simon (Dennis Rodman) is gathering information about the weapons trade on the French Riviera and trying to pinpoint the man at its center. Meanwhile, Nick (Dane Cook) -- an old classmate of Simon's -- asks him for help. Nick needs to rescue his employer's daughter, who appears to have been kidnapped by the same people Simon is tracking down. The pair must get to the bottom of the increasingly dangerous situation with the help of two monks and a feisty woman."
"Dennis Rodman may be a great rebounder, but as a pop-culture icon, he's a one-trick pony.",Simon Sez,1999,Simon Sez - Movie Reviews,"Action , Comedy",In Theaters:,2011,"Simon Sez no matter how starved you are for something to watch, there has to be a better option than this dreadfully misguided action thriller.","Interpol agent Simon (Dennis Rodman) is gathering information about the weapons trade on the French Riviera and trying to pinpoint the man at its center. Meanwhile, Nick (Dane Cook) -- an old classmate of Simon's -- asks him for help. Nick needs to rescue his employer's daughter, who appears to have been kidnapped by the same people Simon is tracking down. The pair must get to the bottom of the increasingly dangerous situation with the help of two monks and a feisty woman."
A frenetically junky action adventure that will quickly dribble off to vid stores after a token fast break in theatrical release.,Simon Sez,1999,Simon Sez - Movie Reviews,"Action , Comedy",In Theaters:,2011,"Simon Sez no matter how starved you are for something to watch, there has to be a better option than this dreadfully misguided action thriller.","Interpol agent Simon (Dennis Rodman) is gathering information about the weapons trade on the French Riviera and trying to pinpoint the man at its center. Meanwhile, Nick (Dane Cook) -- an old classmate of Simon's -- asks him for help. Nick needs to rescue his employer's daughter, who appears to have been kidnapped by the same people Simon is tracking down. The pair must get to the bottom of the increasingly dangerous situation with the help of two monks and a feisty woman."
"Neither the Rivera scenery nor the martial arts of Xiong Xin Xin, much less the automotive stunts attributable to Remy Julienne, can lift Simon Sez beyond the very ordinary.",Simon Sez,1999,Simon Sez - Movie Reviews,"Action , Comedy",In Theaters:,2011,"Simon Sez no matter how starved you are for something to watch, there has to be a better option than this dreadfully misguided action thriller.","Interpol agent Simon (Dennis Rodman) is gathering information about the weapons trade on the French Riviera and trying to pinpoint the man at its center. Meanwhile, Nick (Dane Cook) -- an old classmate of Simon's -- asks him for help. Nick needs to rescue his employer's daughter, who appears to have been kidnapped by the same people Simon is tracking down. The pair must get to the bottom of the increasingly dangerous situation with the help of two monks and a feisty woman."
"Movies and Rodman would seem to be made for each other, but the pictures will have to start getting better than this one.",Simon Sez,1999,Simon Sez - Movie Reviews,"Action , Comedy",In Theaters:,2011,"Simon Sez no matter how starved you are for something to watch, there has to be a better option than this dreadfully misguided action thriller.","Interpol agent Simon (Dennis Rodman) is gathering information about the weapons trade on the French Riviera and trying to pinpoint the man at its center. Meanwhile, Nick (Dane Cook) -- an old classmate of Simon's -- asks him for help. Nick needs to rescue his employer's daughter, who appears to have been kidnapped by the same people Simon is tracking down. The pair must get to the bottom of the increasingly dangerous situation with the help of two monks and a feisty woman."
,Simon Sez,1999,Simon Sez - Movie Reviews,"Action , Comedy",In Theaters:,2011,"Simon Sez no matter how starved you are for something to watch, there has to be a better option than this dreadfully misguided action thriller.","Interpol agent Simon (Dennis Rodman) is gathering information about the weapons trade on the French Riviera and trying to pinpoint the man at its center. Meanwhile, Nick (Dane Cook) -- an old classmate of Simon's -- asks him for help. Nick needs to rescue his employer's daughter, who appears to have been kidnapped by the same people Simon is tracking down. The pair must get to the bottom of the increasingly dangerous situation with the help of two monks and a feisty woman."
"Me, I'll stick to appreciating Worm Rodman in his true and natural element: the 96-foot hardwood floor.",Simon Sez,1999,Simon Sez - Movie Reviews,"Action , Comedy",In Theaters:,2011,"Simon Sez no matter how starved you are for something to watch, there has to be a better option than this dreadfully misguided action thriller.","Interpol agent Simon (Dennis Rodman) is gathering information about the weapons trade on the French Riviera and trying to pinpoint the man at its center. Meanwhile, Nick (Dane Cook) -- an old classmate of Simon's -- asks him for help. Nick needs to rescue his employer's daughter, who appears to have been kidnapped by the same people Simon is tracking down. The pair must get to the bottom of the increasingly dangerous situation with the help of two monks and a feisty woman."
Relies much too heavily on multiple repetitions of gags that aren't especially funny the first time around.,3 Strikes,2000,3 Strikes - Movie Reviews,Comedy,2000,2017,3 Strikes lacks direction and its low-brow humor isn't even that funny.,"Rob Douglas (Brian Hooks) is just released from jail. The state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting."
Butt-numbingly dull and almost entirely laugh-free.,3 Strikes,2000,3 Strikes - Movie Reviews,Comedy,2000,2017,3 Strikes lacks direction and its low-brow humor isn't even that funny.,"Rob Douglas (Brian Hooks) is just released from jail. The state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting."
"Unoriginal and insulting, 3 Strikes goes down without scoring a single chuckle.",3 Strikes,2000,3 Strikes - Movie Reviews,Comedy,2000,2017,3 Strikes lacks direction and its low-brow humor isn't even that funny.,"Rob Douglas (Brian Hooks) is just released from jail. The state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting."
"Without much of a story, convincing performances, or visual style to spark your juices, the mind tends to wander.",3 Strikes,2000,3 Strikes - Movie Reviews,Comedy,2000,2017,3 Strikes lacks direction and its low-brow humor isn't even that funny.,"Rob Douglas (Brian Hooks) is just released from jail. The state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting."
Dumb and sloppy.,3 Strikes,2000,3 Strikes - Movie Reviews,Comedy,2000,2017,3 Strikes lacks direction and its low-brow humor isn't even that funny.,"Rob Douglas (Brian Hooks) is just released from jail. The state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting."
Pooh wastes a wonderful cast.,3 Strikes,2000,3 Strikes - Movie Reviews,Comedy,2000,2017,3 Strikes lacks direction and its low-brow humor isn't even that funny.,"Rob Douglas (Brian Hooks) is just released from jail. The state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting."
"A sloppy hash of a movie, poorly directed and plotted in a way that looks as if it were improvised on the spot.",3 Strikes,2000,3 Strikes - Movie Reviews,Comedy,2000,2017,3 Strikes lacks direction and its low-brow humor isn't even that funny.,"Rob Douglas (Brian Hooks) is just released from jail. The state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting."
A giddy farce with sporadic laughs and no staying power.,3 Strikes,2000,3 Strikes - Movie Reviews,Comedy,2000,2017,3 Strikes lacks direction and its low-brow humor isn't even that funny.,"Rob Douglas (Brian Hooks) is just released from jail. The state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting."
A second-string effort.,3 Strikes,2000,3 Strikes - Movie Reviews,Comedy,2000,2017,3 Strikes lacks direction and its low-brow humor isn't even that funny.,"Rob Douglas (Brian Hooks) is just released from jail. The state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting."
"Pooh's 3 Strikes aims a good deal higher in concept than, say, your average booty movie - but the crude, witless jokes are on exactly that level.",3 Strikes,2000,3 Strikes - Movie Reviews,Comedy,2000,2017,3 Strikes lacks direction and its low-brow humor isn't even that funny.,"Rob Douglas (Brian Hooks) is just released from jail. The state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting."
"In 3 Strikes, empty jokes hang heavy, and you may find yourself fanning the air much as Uncle Jim's family does when the old coot lets one rip.",3 Strikes,2000,3 Strikes - Movie Reviews,Comedy,2000,2017,3 Strikes lacks direction and its low-brow humor isn't even that funny.,"Rob Douglas (Brian Hooks) is just released from jail. The state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting."
Sophomoric and unfunny.,3 Strikes,2000,3 Strikes - Movie Reviews,Comedy,2000,2017,3 Strikes lacks direction and its low-brow humor isn't even that funny.,"Rob Douglas (Brian Hooks) is just released from jail. The state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting."
Designed for a lowest-common-denominator audience segment.,3 Strikes,2000,3 Strikes - Movie Reviews,Comedy,2000,2017,3 Strikes lacks direction and its low-brow humor isn't even that funny.,"Rob Douglas (Brian Hooks) is just released from jail. The state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting."
I'm having a hard time believing the words as I type them but ... it's not that bad.,Ballistic: Ecks vs. Sever,2002,Ballistic: Ecks vs. Sever - Movie Reviews,Action,2002,2009,"A startlingly inept film, Ballistic: Ecks vs. Sever offers overblown, wall-to-wall action without a hint of wit, coherence, style, or originality.","Haunted by the mysterious death of his wife, Jeremiah Ecks (Antonio Banderas) has become a recluse, but the former FBI manhunter is blackmailed back into service to track down an unstoppable ex-DIA operative, code-named Sever (Lucy Liu), who has kidnapped the young son of the head of a secret committee of international security agencies."
An endless barrage of bullets and bazookas,Ballistic: Ecks vs. Sever,2002,Ballistic: Ecks vs. Sever - Movie Reviews,Action,2002,2009,"A startlingly inept film, Ballistic: Ecks vs. Sever offers overblown, wall-to-wall action without a hint of wit, coherence, style, or originality.","Haunted by the mysterious death of his wife, Jeremiah Ecks (Antonio Banderas) has become a recluse, but the former FBI manhunter is blackmailed back into service to track down an unstoppable ex-DIA operative, code-named Sever (Lucy Liu), who has kidnapped the young son of the head of a secret committee of international security agencies."
"For many viewers, the big question may be not whether Ecks and Sever will get together, or why they are fighting in the first place, but why am I sitting here, anyway?",Ballistic: Ecks vs. Sever,2002,Ballistic: Ecks vs. Sever - Movie Reviews,Action,2002,2009,"A startlingly inept film, Ballistic: Ecks vs. Sever offers overblown, wall-to-wall action without a hint of wit, coherence, style, or originality.","Haunted by the mysterious death of his wife, Jeremiah Ecks (Antonio Banderas) has become a recluse, but the former FBI manhunter is blackmailed back into service to track down an unstoppable ex-DIA operative, code-named Sever (Lucy Liu), who has kidnapped the young son of the head of a secret committee of international security agencies."
"An action film starring Antonio Banderas and Lucy Liu, Ballistic: Ecks Vs. Sever looks like a video-game promo, has a story that plays like the fifth episode of a struggling syndicated action show, and feels like a headache waiting to happen.",Ballistic: Ecks vs. Sever,2002,Ballistic: Ecks vs. Sever - Movie Reviews,Action,2002,2009,"A startlingly inept film, Ballistic: Ecks vs. Sever offers overblown, wall-to-wall action without a hint of wit, coherence, style, or originality.","Haunted by the mysterious death of his wife, Jeremiah Ecks (Antonio Banderas) has become a recluse, but the former FBI manhunter is blackmailed back into service to track down an unstoppable ex-DIA operative, code-named Sever (Lucy Liu), who has kidnapped the young son of the head of a secret committee of international security agencies."
This explosion movie is a complete bomb.,Ballistic: Ecks vs. Sever,2002,Ballistic: Ecks vs. Sever - Movie Reviews,Action,2002,2009,"A startlingly inept film, Ballistic: Ecks vs. Sever offers overblown, wall-to-wall action without a hint of wit, coherence, style, or originality.","Haunted by the mysterious death of his wife, Jeremiah Ecks (Antonio Banderas) has become a recluse, but the former FBI manhunter is blackmailed back into service to track down an unstoppable ex-DIA operative, code-named Sever (Lucy Liu), who has kidnapped the young son of the head of a secret committee of international security agencies."
,Ballistic: Ecks vs. Sever,2002,Ballistic: Ecks vs. Sever - Movie Reviews,Action,2002,2009,"A startlingly inept film, Ballistic: Ecks vs. Sever offers overblown, wall-to-wall action without a hint of wit, coherence, style, or originality.","Haunted by the mysterious death of his wife, Jeremiah Ecks (Antonio Banderas) has become a recluse, but the former FBI manhunter is blackmailed back into service to track down an unstoppable ex-DIA operative, code-named Sever (Lucy Liu), who has kidnapped the young son of the head of a secret committee of international security agencies."
Between explosions there is enough room left for only minimal character development.,Ballistic: Ecks vs. Sever,2002,Ballistic: Ecks vs. Sever - Movie Reviews,Action,2002,2009,"A startlingly inept film, Ballistic: Ecks vs. Sever offers overblown, wall-to-wall action without a hint of wit, coherence, style, or originality.","Haunted by the mysterious death of his wife, Jeremiah Ecks (Antonio Banderas) has become a recluse, but the former FBI manhunter is blackmailed back into service to track down an unstoppable ex-DIA operative, code-named Sever (Lucy Liu), who has kidnapped the young son of the head of a secret committee of international security agencies."
"Director Wych Kaosayananda -- or Kaos, to you -- is stupendously inept, unable even to properly light a combat sequence.",Ballistic: Ecks vs. Sever,2002,Ballistic: Ecks vs. Sever - Movie Reviews,Action,2002,2009,"A startlingly inept film, Ballistic: Ecks vs. Sever offers overblown, wall-to-wall action without a hint of wit, coherence, style, or originality.","Haunted by the mysterious death of his wife, Jeremiah Ecks (Antonio Banderas) has become a recluse, but the former FBI manhunter is blackmailed back into service to track down an unstoppable ex-DIA operative, code-named Sever (Lucy Liu), who has kidnapped the young son of the head of a secret committee of international security agencies."
Before seeing this film I couldn't understand why the producers had given it a subtitle; afterward I realized Ecks vs. Sever was probably the full script.,Ballistic: Ecks vs. Sever,2002,Ballistic: Ecks vs. Sever - Movie Reviews,Action,2002,2009,"A startlingly inept film, Ballistic: Ecks vs. Sever offers overblown, wall-to-wall action without a hint of wit, coherence, style, or originality.","Haunted by the mysterious death of his wife, Jeremiah Ecks (Antonio Banderas) has become a recluse, but the former FBI manhunter is blackmailed back into service to track down an unstoppable ex-DIA operative, code-named Sever (Lucy Liu), who has kidnapped the young son of the head of a secret committee of international security agencies."
A career low for both Liu and Banderas.,Ballistic: Ecks vs. Sever,2002,Ballistic: Ecks vs. Sever - Movie Reviews,Action,2002,2009,"A startlingly inept film, Ballistic: Ecks vs. Sever offers overblown, wall-to-wall action without a hint of wit, coherence, style, or originality.","Haunted by the mysterious death of his wife, Jeremiah Ecks (Antonio Banderas) has become a recluse, but the former FBI manhunter is blackmailed back into service to track down an unstoppable ex-DIA operative, code-named Sever (Lucy Liu), who has kidnapped the young son of the head of a secret committee of international security agencies."
